@relation PokeSet
@attribute Height numeric
@attribute Weight numeric
@attribute Body numeric
@attribute CatchRate numeric
@attribute PerfSpeed numeric
@attribute PerfPower numeric
@attribute PerfSkill numeric
@attribute PerfStamina numeric
@attribute PerfJump numeric
@attribute BaseHp numeric
@attribute BaseAttack numeric
@attribute BaseDefense numeric
@attribute BaseSpAttack numeric
@attribute BaseSpDefense numeric
@attribute BaseSpeed numeric
@attribute Color numeric
@attribute Habitat numeric
@attribute Ability1 numeric
@attribute Ability2 numeric
@attribute Hidden numeric
@attribute class { Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Rock,Ghost,Psychic,Ice,Dragon,Dark,Steel,Flying}
@data 
0.4,7.7,0,200,?,?,?,?,?,50,40,85,40,65,25,2,?,32,71,?,Bug
0.3,2.9,1,255,3,3,4,3,2,45,30,35,20,20,45,5,1,83,?,?,Bug
0.7,9.9,1,120,3,3,1,5,3,50,20,55,25,25,30,5,1,80,?,?,Bug
0.3,3.2,1,255,3,4,4,3,2,40,35,30,20,20,50,1,1,83,?,?,Bug
0.6,10,1,120,3,3,1,5,3,45,25,50,25,25,35,4,1,80,?,?,Bug
2,6.9,1,255,5,4,3,3,3,35,60,44,40,54,55,9,2,40,69,?,Poison
3.5,65,1,90,4,5,3,4,3,60,85,69,65,79,80,9,2,40,69,?,Poison
8.8,210,1,45,4,2,2,4,3,35,45,160,30,45,70,7,0,71,83,?,Rock
6.5,672.4,1,45,3,5,2,4,5,95,155,109,70,130,81,6,8,40,?,?,Water
1.8,3.3,1,45,5,3,3,4,3,41,64,45,50,50,50,6,8,80,?,?,Dragon
4,16.5,1,45,4,3,4,3,5,61,84,65,70,70,70,6,8,80,?,?,Dragon
1.5,14,1,190,3,4,2,4,5,100,70,70,65,65,45,4,0,78,62,?,Normal
9.2,400,1,25,2,5,2,5,2,75,85,200,55,65,30,7,0,71,83,?,Steel
0.7,35,1,190,2,3,3,4,2,40,40,40,70,40,20,2,3,50,16,?,Fire
0.8,55,1,75,1,4,2,5,2,50,50,120,80,80,30,2,3,50,16,?,Fire
1.2,152,1,45,4,4,1,4,4,70,84,70,65,70,51,7,3,80,?,?,Rock
0.3,3.6,1,255,3,3,5,4,3,45,45,35,20,30,20,2,1,83,?,?,Bug
2.7,52.5,1,90,4,4,5,5,2,73,100,60,100,60,65,0,2,80,?,?,Poison
6.2,162,1,60,4,3,5,5,3,95,60,79,100,125,81,3,8,52,?,?,Water
1.7,27,1,60,4,5,2,3,3,55,104,105,94,75,52,6,6,98,?,?,Water
1.8,22.6,1,60,4,3,4,3,3,55,84,105,114,75,52,3,6,98,?,?,Water
7,206.5,1,3,5,5,3,5,5,105,150,90,150,90,95,5,4,2,?,?,Dragon
0.2,3.4,1,120,4,5,3,5,3,40,29,45,29,45,36,7,?,80,?,?,Bug
0.5,14.3,1,45,3,5,3,5,2,60,69,95,69,95,36,7,?,3,?,?,Bug
6.9,650,9,3,5,5,5,5,5,150,120,100,120,100,90,0,?,67,?,?,Ghost
3.3,63,1,45,?,?,?,?,?,75,75,95,75,95,113,5,?,61,?,?,Grass
1.1,90,2,190,3,3,2,4,3,65,45,55,45,70,45,8,6,103,25,15,Water
1.7,120,2,75,2,3,2,5,3,90,70,80,70,95,70,8,6,103,25,15,Water
0.6,15,2,225,4,4,3,2,3,45,67,60,35,50,63,2,8,98,97,?,Water
1.3,39,2,60,4,4,3,3,3,80,92,65,65,80,68,2,8,98,97,?,Water
0.9,10,2,255,5,4,3,5,4,20,10,55,15,20,80,2,8,98,?,?,Water
2.5,220,2,45,3,4,4,5,3,130,85,80,85,95,60,6,6,112,71,?,Water
0.5,12,2,190,4,3,5,4,3,75,38,38,56,56,67,6,6,111,27,?,Water
1.2,22.5,2,75,3,3,3,4,4,125,58,58,76,76,67,6,6,111,27,?,Water
0.5,3.9,2,45,3,4,3,5,3,65,95,75,55,55,85,7,6,65,86,?,Water
0.6,12,2,190,3,3,5,3,3,35,65,35,65,35,65,7,6,31,74,20,Water
0.8,20.8,2,225,4,4,4,3,3,45,90,20,65,20,65,2,6,72,?,?,Water
1.8,88.8,2,60,4,4,4,2,3,70,120,40,95,40,95,6,6,72,?,?,Water
2,130,2,125,3,4,3,5,4,130,70,35,70,35,60,6,6,113,48,?,Water
14.5,398,2,60,3,5,1,5,4,170,90,45,90,45,60,6,6,113,48,?,Water
0.4,1.9,2,190,4,3,4,5,3,50,48,43,46,41,60,7,8,59,3,14,Water
0.9,23.6,2,75,2,5,4,5,2,110,78,73,76,71,60,6,8,59,3,14,Water
0.6,7.4,2,255,5,2,1,1,2,20,15,20,10,55,80,1,8,98,?,?,Water
0.8,39.5,2,255,4,4,2,4,2,70,40,50,55,50,25,6,6,103,26,22,Ice
1.1,87.6,2,120,4,4,2,4,2,90,60,70,75,70,45,6,6,103,26,22,Ice
1,23.4,2,25,3,4,3,5,3,100,90,130,45,65,55,7,6,98,61,?,Water
0.6,8.7,2,225,5,1,1,5,3,43,30,55,40,65,97,3,6,98,?,?,Water
4.5,352,2,5,4,4,5,5,4,100,100,90,150,140,90,6,6,17,?,?,Water
0.4,7,2,190,5,2,4,4,4,49,49,56,49,61,66,6,?,98,82,?,Water
1.2,24,2,75,5,3,4,5,4,69,69,76,69,86,91,6,?,98,82,?,Water
0.5,4.5,2,255,?,?,?,?,?,50,50,40,50,40,64,6,?,98,25,?,Water
1,18,2,25,?,?,?,?,?,70,92,65,80,55,98,5,?,69,0,?,Water
1.2,31.6,2,75,?,?,?,?,?,165,75,80,40,45,65,3,?,29,25,?,Water
0.2,0.3,2,190,?,?,?,?,?,35,55,40,45,40,60,8,?,46,?,?,Electric
1.2,22,2,60,?,?,?,?,?,65,85,70,75,70,40,6,?,46,?,?,Electric
2.1,80.5,2,30,?,?,?,?,?,85,115,80,105,80,50,6,?,46,?,?,Electric
0.7,11,2,75,?,?,?,?,?,109,66,84,81,99,32,1,?,91,37,?,Ground
0.4,20,3,255,2,3,2,4,2,40,80,100,30,30,20,1,3,71,83,?,Rock
0.3,6,3,190,4,2,4,2,4,25,35,70,95,55,45,7,5,51,83,?,Electric
0.9,30,3,190,1,4,2,5,2,80,80,50,40,50,25,9,7,93,81,?,Poison
1.2,30,3,75,5,4,5,5,5,105,105,75,65,100,50,9,7,93,81,?,Poison
1.6,0.1,3,90,4,1,5,4,4,45,50,45,115,55,95,9,0,46,?,?,Ghost
0.4,10.3,3,225,2,2,2,4,2,70,43,53,43,53,40,5,2,49,81,?,Poison
1.7,80,3,75,2,4,3,5,2,100,73,83,73,83,55,9,2,49,81,?,Poison
0.7,30.6,3,255,3,3,3,4,5,60,25,35,70,80,60,0,3,103,50,?,Psychic
0.5,21.5,3,255,4,3,5,4,3,40,40,55,40,70,55,1,5,46,?,?,Ground
1.5,107.9,3,90,3,3,5,4,4,60,70,105,70,120,75,0,5,46,?,?,Ground
0.8,15,3,190,4,3,3,3,4,20,40,90,30,90,25,0,1,46,?,?,Ghost
0.6,1,3,45,5,2,2,2,5,65,50,70,95,80,65,6,2,46,?,?,Psychic
1.2,202.5,3,3,3,4,3,4,4,60,75,100,55,80,50,6,5,9,?,?,Steel
0.4,1.2,3,125,5,1,4,4,5,90,50,34,60,44,70,9,?,1,94,?,Ghost
1.2,15,3,60,4,3,2,5,5,150,80,44,90,54,80,9,?,1,94,?,Ghost
1.3,187,3,90,1,5,3,5,5,67,89,116,79,116,33,5,?,46,22,?,Steel
1.2,180,3,30,2,3,5,4,5,70,70,115,130,90,60,7,?,51,83,?,Electric
0.9,34,3,30,4,5,5,1,4,85,80,70,135,75,90,2,?,0,12,?,Normal
2.2,106.6,3,45,2,4,4,4,4,45,100,135,65,135,45,0,?,67,?,?,Ghost
1.3,26.6,3,75,4,3,5,3,5,70,80,70,80,70,110,8,?,86,?,?,Ice
0.4,3.1,3,30,5,2,5,3,3,80,80,80,80,80,80,6,?,32,?,?,Water
0.5,7.3,3,120,?,?,?,?,?,55,63,90,50,80,42,5,?,45,7,?,Bug
0.5,1.5,3,190,?,?,?,?,?,38,30,85,55,65,30,0,?,57,?,?,Ghost
1,20.1,3,50,?,?,?,?,?,110,65,75,125,85,30,5,?,60,39,?,Psychic
1,33,3,75,?,?,?,?,?,70,135,105,60,105,20,7,?,97,71,?,Bug
0.2,1,3,190,?,?,?,?,?,69,55,45,55,55,15,8,?,20,?,?,Grass
0.6,10.5,3,75,?,?,?,?,?,114,85,70,85,80,30,8,?,20,?,?,Grass
0.6,13,3,90,?,?,?,?,?,60,40,60,95,60,55,0,?,22,16,?,Ghost
1,34.3,3,45,?,?,?,?,?,60,55,90,145,90,80,0,?,22,16,?,Ghost
0.8,25.3,3,75,?,?,?,?,?,80,70,40,100,60,145,2,?,32,81,?,Bug
1.5,63,3,3,?,?,?,?,?,79,100,80,110,90,121,5,?,66,?,?,Flying
3,65,3,3,?,?,?,?,?,79,105,70,145,80,101,6,?,66,?,?,Electric
1.5,68,3,3,?,?,?,?,?,89,145,90,105,80,91,1,?,74,?,?,Ground
0.2,0.8,4,255,5,2,4,4,1,10,55,25,35,45,95,1,0,77,4,?,Ground
1,6.4,4,120,2,3,2,4,3,65,90,50,85,45,55,5,1,8,?,?,Grass
1.7,15.5,4,45,1,4,4,4,3,80,105,65,100,60,70,5,1,8,?,?,Grass
0.4,8,4,225,4,3,3,3,3,30,40,70,70,25,60,6,6,98,74,6,Water
1.2,25,4,75,3,3,4,4,3,55,65,95,95,45,85,6,6,65,74,6,Water
0.8,34.5,4,225,5,3,3,3,3,30,45,55,70,55,85,1,6,35,45,?,Water
1.1,80,4,60,5,5,3,3,4,60,75,85,100,85,115,9,6,35,45,?,Water
1.3,28.5,4,45,2,4,5,5,3,190,33,58,33,58,33,6,0,79,?,?,Psychic
1.8,152,4,45,5,4,3,5,2,75,95,95,95,95,85,6,6,98,74,6,Water
0.8,1.2,4,45,2,3,3,5,5,1,90,45,30,30,40,1,1,115,?,?,Bug
1,23.8,4,45,3,4,3,5,2,66,41,77,61,87,23,9,6,96,?,?,Rock
1.5,60.4,4,45,1,4,3,5,2,86,81,97,81,107,43,5,6,96,?,?,Rock
0.6,95.2,4,3,4,4,1,3,4,40,55,80,35,60,30,6,5,9,?,?,Steel
1,108,4,100,2,4,2,5,2,50,92,108,92,108,35,9,?,67,?,?,Ghost
0.5,6.6,4,190,?,?,?,?,?,45,35,50,70,50,30,5,?,8,50,?,Grass
1.1,16.3,4,75,?,?,?,?,?,70,60,75,110,75,90,5,?,8,50,?,Grass
1,28,4,255,?,?,?,?,?,75,86,67,106,67,60,5,?,112,7,?,Grass
1.7,76.5,4,90,?,?,?,?,?,58,50,145,95,105,30,4,?,57,?,?,Ghost
0.4,5.7,4,255,?,?,?,?,?,36,50,50,65,60,44,8,?,34,?,?,Ice
1.1,41,4,120,?,?,?,?,?,51,65,65,80,75,59,8,?,34,?,?,Ice
0.3,3.1,4,190,?,?,?,?,?,50,30,55,65,55,20,8,?,22,16,?,Ghost
0.6,8.5,5,45,3,5,4,3,3,39,52,43,60,50,65,2,3,7,?,?,Fire
1.1,19,5,45,3,4,4,2,3,58,64,58,80,65,80,2,3,7,?,?,Fire
1.7,243.6,5,45,3,3,2,5,5,78,104,78,159,115,100,2,3,7,?,?,Fire
0.5,9,5,45,3,3,4,4,2,44,48,65,50,64,43,6,8,104,?,?,Water
1,22.5,5,45,4,3,5,4,3,59,63,80,65,80,58,6,8,104,?,?,Water
1.6,222.9,5,45,3,5,3,5,3,79,103,120,135,115,78,6,8,104,?,?,Water
0.8,30,5,75,3,5,5,5,3,60,90,55,90,80,100,4,1,91,?,?,Electric
0.6,12,5,255,4,3,5,3,3,50,75,85,20,30,40,4,5,77,?,?,Ground
1,29.5,5,90,3,4,5,3,2,75,100,110,45,55,65,4,5,77,?,?,Ground
1.3,60,5,45,3,5,3,5,2,90,82,87,75,85,76,6,2,65,60,31,Poison
1.4,62,5,45,3,5,3,4,2,81,92,77,85,75,85,9,2,65,60,31,Poison
0.6,7.5,5,150,5,3,5,4,3,70,45,48,60,65,35,3,3,12,39,10,Fairy
1.3,40,5,25,3,3,5,5,3,95,70,73,85,90,60,3,3,12,39,35,Fairy
0.8,19.6,5,190,5,5,5,5,4,50,52,48,65,50,55,4,8,13,8,?,Water
1.7,76.6,5,75,3,4,3,4,4,80,82,78,95,80,85,6,8,13,8,?,Water
0.5,28,5,190,4,3,5,2,3,40,80,35,35,45,70,1,3,110,2,7,Fighting
1,32,5,75,3,5,1,3,3,65,105,60,60,70,95,1,3,110,2,7,Fighting
0.9,19.5,5,200,5,1,5,4,5,25,20,15,105,55,90,1,7,99,29,?,Psychic
1.3,56.5,5,100,4,3,5,3,3,40,35,30,120,70,105,1,7,99,29,?,Psychic
0.8,19.5,5,180,4,4,3,3,2,70,80,50,35,35,35,7,3,28,46,32,Fighting
1.6,78.5,5,75,1,3,5,5,3,95,75,110,100,80,30,3,8,59,50,?,Water
1.5,40.5,5,45,3,3,5,4,3,60,65,80,170,95,130,9,0,46,?,?,Ghost
0.4,6.5,5,190,4,5,3,3,3,50,50,95,40,50,35,1,3,71,36,?,Ground
1,45,5,75,3,5,3,4,2,60,80,110,50,80,45,1,3,71,36,?,Ground
1.2,65.5,5,45,3,4,3,5,3,90,55,75,60,75,30,3,2,62,48,?,Normal
1.9,120,5,60,2,5,3,5,3,105,130,120,45,45,40,7,5,47,61,?,Ground
1.1,34.6,5,30,3,4,4,5,3,250,5,5,35,105,50,3,7,58,68,?,Normal
2.2,220.5,5,45,4,5,4,5,2,105,125,100,60,100,100,1,2,19,67,17,Normal
1.1,30,5,45,4,4,4,4,3,65,83,57,95,85,105,4,2,91,?,?,Electric
1.3,44.5,5,45,2,3,5,5,3,65,95,57,100,85,93,2,3,21,?,?,Fire
1.3,40.5,5,45,5,5,3,3,3,60,115,105,65,70,80,1,6,98,5,?,Rock
2.2,210,5,45,5,5,3,4,5,91,134,95,100,100,80,1,8,38,?,?,Dragon
2.3,280,5,3,5,5,5,4,4,106,150,70,194,120,140,9,4,67,?,?,Psychic
0.4,4,5,45,5,5,5,5,5,100,100,100,100,100,100,3,4,99,?,?,Psychic
0.6,9.5,5,45,4,5,3,3,3,50,65,64,44,48,43,6,8,104,?,?,Water
1.1,25,5,45,3,5,3,5,3,65,80,80,59,63,58,6,8,104,?,?,Water
2.3,88.8,5,45,4,5,4,4,2,85,105,100,79,83,78,6,8,104,?,?,Water
0.3,3,5,150,5,2,4,3,3,50,25,28,45,55,15,3,3,12,39,10,Fairy
0.8,13.3,5,120,3,3,3,4,3,70,55,55,80,60,45,3,2,91,?,?,Electric
1.4,61.5,5,45,3,4,4,5,3,90,95,105,165,110,45,4,2,91,?,?,Electric
0.4,8.5,5,190,4,5,3,3,3,70,20,50,20,50,40,6,8,103,23,?,Water
0.8,28.5,5,75,3,5,3,4,2,100,50,80,50,80,50,6,8,103,23,?,Water
0.4,0.5,5,255,5,2,1,1,5,35,35,40,35,55,50,3,2,8,35,16,Grass
0.6,1,5,120,5,3,1,2,5,55,45,50,45,65,80,5,2,8,35,16,Grass
0.8,3,5,45,5,3,2,2,5,75,55,70,55,85,110,6,2,8,35,16,Grass
0.8,11.5,5,45,4,3,4,3,4,55,70,55,40,55,85,9,1,73,51,?,Normal
1.4,75,5,90,2,4,4,5,2,95,85,85,65,65,35,6,8,13,96,?,Water
2,79.5,5,70,3,3,5,3,3,95,75,80,100,110,30,3,8,59,50,?,Water
1.4,48.7,5,75,2,5,4,3,2,90,120,75,60,60,45,9,7,40,56,27,Fairy
0.9,28,5,60,5,3,5,1,4,55,95,55,35,75,115,0,1,38,33,?,Dark
0.6,8.8,5,120,3,3,4,5,3,60,80,50,50,50,40,1,3,63,56,12,Normal
1.8,125.8,5,60,3,5,3,5,2,90,130,75,75,75,55,1,3,28,56,37,Normal
1.2,58,5,45,3,3,5,3,3,55,20,35,20,45,75,8,7,62,89,20,Normal
1.4,48,5,45,3,3,5,3,3,50,95,95,35,110,70,1,7,40,89,32,Fighting
0.7,21.4,5,45,3,3,3,3,3,45,75,37,70,55,83,2,3,21,?,?,Fire
1.2,75.5,5,45,3,4,4,5,3,95,80,105,40,70,100,3,2,103,67,30,Normal
0.6,72,5,45,3,4,4,3,3,50,64,50,45,50,41,5,3,28,?,?,Rock
2.5,562.2,5,45,2,5,4,5,2,100,164,150,95,120,71,5,3,76,?,?,Rock
0.5,5,5,45,5,3,5,2,3,40,45,35,65,55,70,5,1,61,?,?,Grass
0.9,21.6,5,45,5,4,5,4,4,50,65,45,85,65,95,5,1,61,?,?,Grass
1.7,52.2,5,45,4,5,5,4,4,70,85,65,105,85,120,5,1,61,?,?,Grass
0.9,19.5,5,45,4,5,4,3,4,60,85,60,85,60,55,2,2,7,?,?,Fire
1.9,52,5,45,2,5,5,4,4,80,160,80,130,80,100,2,2,7,?,?,Fire
0.7,28,5,45,3,4,4,5,3,70,85,70,60,70,50,6,8,104,?,?,Water
1.5,81.9,5,45,3,5,5,5,2,100,110,90,85,90,60,6,8,104,?,?,Water
1.2,39.2,5,90,3,5,5,3,3,60,130,80,60,60,70,5,1,20,52,33,Grass
1.4,46.5,5,120,5,3,4,4,4,80,80,80,55,55,90,8,1,110,?,?,Normal
0.6,16.3,5,190,5,3,4,3,3,64,51,23,51,23,28,3,0,89,?,?,Normal
1,40.5,5,120,4,4,4,4,3,84,71,43,71,43,48,6,0,89,?,?,Normal
1.5,84,5,45,3,4,4,5,2,104,91,63,91,63,68,6,0,89,?,?,Normal
2.2,870.8,5,45,2,5,4,4,2,70,140,230,60,80,50,7,3,95,61,?,Steel
0.4,4.2,5,200,4,2,2,3,4,60,50,40,85,75,95,4,2,64,?,?,Electric
0.4,4.2,5,200,4,2,2,3,4,60,40,50,75,85,95,4,2,53,?,?,Electric
0.7,17.7,5,150,4,3,2,3,5,65,73,55,47,75,85,7,1,35,85,?,Bug
0.9,71.5,5,60,2,5,5,5,3,80,45,65,90,110,80,9,3,103,50,?,Psychic
1.1,5,5,255,3,3,4,3,3,60,60,60,60,60,60,1,3,62,88,4,Normal
1.3,40.3,5,90,3,5,4,5,3,73,115,60,60,60,90,8,2,37,?,?,Normal
1.5,68.2,5,45,2,5,4,5,2,75,125,100,70,80,45,7,8,5,?,?,Rock
1,22,5,200,4,3,5,4,3,60,90,70,60,120,40,5,1,10,?,?,Normal
1.2,28.7,5,45,3,4,4,3,3,64,165,75,93,83,75,0,7,39,19,5,Ghost
0.6,14,5,125,5,3,4,5,3,95,23,48,23,48,23,6,0,79,?,?,Psychic
3.5,0,5,5,2,5,5,5,2,100,150,140,100,90,90,2,5,18,?,?,Ground
0.5,6.2,5,45,5,4,4,2,3,44,58,44,58,44,61,1,?,7,?,?,Fire
0.9,22,5,45,5,4,5,2,3,64,78,52,78,52,81,1,?,7,?,?,Fire
1.2,55,5,45,4,5,5,2,3,76,104,71,104,71,108,1,?,7,?,?,Fire
0.8,23,5,45,4,4,4,5,4,64,66,68,81,76,50,6,?,104,?,?,Water
1.7,84.5,5,45,3,5,3,5,4,84,86,88,111,101,60,6,?,104,?,?,Water
1,31.5,5,127,4,4,4,5,2,79,85,60,55,60,71,1,?,84,93,?,Normal
0.9,31.5,5,45,4,5,3,3,3,67,125,40,30,30,58,6,?,54,?,?,Rock
1.6,102.5,5,45,3,5,3,4,3,97,165,60,65,50,58,6,?,54,?,?,Rock
1.2,20.3,5,45,4,4,5,4,4,75,100,66,60,66,115,9,?,100,51,?,Normal
0.4,5.5,5,190,5,4,2,4,4,55,66,44,44,56,85,1,?,73,34,?,Normal
1.2,33.3,5,60,5,4,2,4,4,65,76,84,54,96,105,1,?,12,34,?,Normal
0.7,20.5,5,45,4,4,3,3,2,58,70,45,40,45,42,6,?,77,?,?,Dragon
1.4,56,5,45,3,4,4,4,3,68,90,65,50,55,82,6,?,77,?,?,Dragon
1.9,95,5,45,3,5,5,4,2,108,170,115,120,95,92,6,?,77,?,?,Dragon
0.7,20.2,5,75,5,4,5,3,4,40,70,40,35,40,60,6,?,92,29,?,Fighting
1.3,126.8,5,45,4,5,5,3,4,70,145,88,140,70,112,6,?,92,29,?,Fighting
1,50.5,5,120,4,4,4,4,3,60,62,50,62,60,40,8,?,87,?,?,Grass
2.7,407.8,5,60,2,5,5,5,2,90,132,105,132,105,30,8,?,87,?,?,Grass
1.1,34,5,45,5,5,5,3,3,70,120,65,45,85,125,0,?,67,?,?,Dark
2.4,282.8,5,30,1,5,4,5,2,115,140,130,55,55,40,7,?,47,77,?,Ground
1.8,138.6,5,30,5,4,5,4,2,75,123,67,95,85,95,4,?,55,?,?,Electric
1.6,68,5,30,2,5,5,5,2,75,95,67,125,95,83,2,?,21,?,?,Fire
0.3,0.3,5,3,4,4,4,5,5,75,75,130,75,130,95,4,?,46,?,?,Psychic
0.3,0.3,5,3,3,5,4,4,5,80,105,105,105,105,80,3,?,46,?,?,Psychic
0.3,0.3,5,3,4,3,5,3,4,75,125,70,125,70,115,6,?,46,?,?,Psychic
4.2,336,5,30,3,5,5,5,5,90,120,100,150,120,100,9,?,67,?,?,Water
0.6,8.1,5,45,?,?,?,?,?,45,45,55,45,55,63,5,?,61,?,?,Grass
0.8,16,5,45,?,?,?,?,?,60,60,75,60,75,83,5,?,61,?,?,Grass
1,55.5,5,45,?,?,?,?,?,90,93,55,70,55,55,2,?,7,?,?,Fire
1.6,150,5,45,?,?,?,?,?,110,123,65,100,65,65,2,?,7,?,?,Fire
0.5,5.9,5,45,?,?,?,?,?,55,55,45,63,45,45,6,?,104,?,?,Water
0.8,24.5,5,45,?,?,?,?,?,75,75,60,83,60,60,6,?,104,?,?,Water
1.1,27,5,255,?,?,?,?,?,60,85,69,60,69,77,1,?,35,33,?,Normal
0.6,10.5,5,65,?,?,?,?,?,50,53,48,53,48,64,5,?,27,?,?,Grass
1.1,30.5,5,65,?,?,?,?,?,75,98,63,98,63,101,5,?,27,?,?,Grass
0.6,11,5,65,?,?,?,?,?,50,53,48,53,48,64,2,?,27,?,?,Fire
1,28,5,65,?,?,?,?,?,75,98,63,98,63,101,2,?,27,?,?,Fire
0.6,13.5,5,65,?,?,?,?,?,50,53,48,53,48,64,6,?,27,?,?,Water
1,29,5,65,?,?,?,?,?,75,98,63,98,63,101,6,?,27,?,?,Water
0.3,8.5,5,120,?,?,?,?,?,60,85,40,30,45,68,7,?,75,63,?,Ground
1.1,31,5,255,?,?,?,?,?,103,60,86,60,86,50,3,?,29,59,?,Normal
0.8,17,5,120,?,?,?,?,?,75,65,55,65,55,69,6,?,98,25,?,Water
1.5,96.3,5,45,?,?,?,?,?,95,117,70,65,70,92,2,?,40,44,?,Ground
0.6,11.8,5,180,?,?,?,?,?,50,75,70,35,70,48,4,?,80,44,?,Dark
1.1,30,5,90,?,?,?,?,?,65,90,115,45,115,58,2,?,80,44,?,Dark
1.2,81,5,45,?,?,?,?,?,74,108,133,83,65,32,6,?,88,83,?,Water
1.6,81.1,5,45,?,?,?,?,?,60,105,60,120,60,105,7,?,36,?,?,Dark
0.5,9,5,255,?,?,?,?,?,55,55,55,85,55,30,6,?,101,87,?,Psychic
0.6,18,5,75,?,?,?,?,?,46,87,60,30,40,57,5,?,70,42,?,Dragon
1,36,5,60,?,?,?,?,?,66,117,70,40,50,67,5,?,70,42,?,Dragon
1.8,105.5,5,45,?,?,?,?,?,76,147,90,60,70,97,4,?,70,42,?,Dragon
0.5,8.5,5,120,?,?,?,?,?,55,70,40,60,40,40,8,?,86,?,?,Ice
0.9,20,5,180,?,?,?,?,?,45,85,50,55,50,65,4,?,38,59,?,Fighting
1.4,35.5,5,45,?,?,?,?,?,65,125,60,95,60,105,9,?,38,59,?,Fighting
1.6,139,5,45,?,?,?,?,?,77,120,90,60,90,48,2,?,72,70,?,Dragon
1.4,58,5,90,?,?,?,?,?,85,97,66,105,66,65,2,?,27,17,?,Fire
1.8,160,5,45,?,?,?,?,?,92,105,90,125,90,98,6,?,46,?,?,Dark
2.9,345,5,45,?,?,?,?,?,100,150,120,120,100,90,0,?,102,?,?,Dragon
3.6,325,5,3,?,?,?,?,?,125,120,90,170,100,95,7,?,67,?,?,Dragon
0.5,5.4,6,255,5,3,4,4,3,45,50,55,75,65,30,6,2,8,?,?,Grass
0.6,12.4,6,255,4,2,3,5,4,40,50,40,40,40,90,6,8,112,11,?,Water
