@relation PokeSet
@attribute Height real
@attribute Weight real
@attribute Body {head,serpertine,fins,headArms,headBase,bipedalTailed,headLegs,quadruped,singleWings,multiped,multiBody,bipedalTailless,TwoMoreWings,insectoid}
@attribute CatchRate real
@attribute PerfSpeed real
@attribute PerfPower real
@attribute PerfSkill real
@attribute PerfStamina real
@attribute PerfJump real
@attribute BaseHp real
@attribute BaseAttack real
@attribute BaseDefense real
@attribute BaseSpAttack real
@attribute BaseSpDefense real
@attribute BaseSpeed real
@attribute Color { 'black' ,'blue' ,'brown' ,'gray' ,'green' ,'pink' ,'purple' ,'red' ,'silver' ,'yellow' }
@attribute Habitat {'cave' ,'forest' ,'grass' ,'mountain' ,'rare' ,'rough' ,'sea' ,'urban' ,'water' }
@attribute Ability1 { 'Adaptability' ,'Aftermath' ,'Air Lock' ,'Anticipation' ,'Bad Dreams' ,'Battle Armor' ,'Big Pecks' ,'Blaze' ,'Chlorophyll' ,'Clear Body' ,'Color Change' ,'Compound Eyes' ,'Cute Charm' ,'Damp' ,'Defeatist' ,'Defiant' ,'Download' ,'Drizzle' ,'Drought' ,'Early Bird' ,'Effect Spore' ,'Flame Body' ,'Flash Fire' ,'Flower Gift' ,'Forecast' ,'Forewarn' ,'Frisk' ,'Gluttony' ,'Guts' ,'Healer' ,'Honey Gather' ,'Hustle' ,'Hydration' ,'Hyper Cutter' ,'Ice Body' ,'Illuminate' ,'Illusion' ,'Immunity' ,'Inner Focus' ,'Insomnia' ,'Intimidate' ,'Iron Barbs' ,'Iron Fist' ,'Justified' ,'Keen Eye' ,'Leaf Guard' ,'Levitate' ,'Lightningrod' ,'Limber' ,'Liquid Ooze' ,'Magma Armor' ,'Magnet Pull' ,'Marvel Scale' ,'Minus' ,'Mold Breaker' ,'Motor Drive' ,'Multitype' ,'Mummy' ,'Natural Cure' ,'Oblivious' ,'Overcoat' ,'Overgrow' ,'Own Tempo' ,'Pickup' ,'Plus' ,'Poison Point' ,'Prankster' ,'Pressure' ,'Pure Power' ,'Reckless' ,'Rivalry' ,'Rock Head' ,'Rough Skin' ,'Run Away' ,'Sand Force' ,'Sand Rush' ,'Sand Stream' ,'Sand Veil' ,'Serene Grace' ,'Shadow Tag' ,'Shed Skin' ,'Sheer Force' ,'Shell Armor' ,'Shield Dust' ,'Simple' ,'Slow Start' ,'Snow Cloak' ,'Snow Warning' ,'Solid Rock' ,'Soundproof' ,'Speed Boost' ,'Static' ,'Steadfast' ,'Stench' ,'Sticky Hold' ,'Sturdy' ,'Suction Cups' ,'Swarm' ,'Swift Swim' ,'Synchronize' ,'Technician' ,'Telepathy' ,'Teravolt' ,'Thick Fat' ,'Torrent' ,'Trace' ,'Truant' ,'Turboblaze' ,'Unaware' ,'Victory Star' ,'Vital Spirit' ,'Volt Absorb' ,'Water Absorb' ,'Water Veil' ,'White Smoke' ,'Wonder Guard' ,'Wonder Skin' }
@attribute Ability2 {'Adaptability' ,'Aftermath' ,'Anger Point' ,'Anticipation' ,'Arena Trap' ,'Battle Armor' ,'Big Pecks' ,'Chlorophyll' ,'Cloud Nine' ,'Compound Eyes' ,'Cursed Body' ,'Damp' ,'Download' ,'Dry Skin' ,'Early Bird' ,'Filter' ,'Flame Body' ,'Flash Fire' ,'Forewarn' ,'Frisk' ,'Gluttony' ,'Guts' ,'Heatproof' ,'Huge Power' ,'Hustle' ,'Hydration' ,'Ice Body' ,'Illuminate' ,'Infiltrator' ,'Inner Focus' ,'Insomnia' ,'Intimidate' ,'Iron Fist' ,'Keen Eye' ,'Klutz' ,'Leaf Guard' ,'Lightningrod' ,'Limber' ,'Liquid Ooze' ,'Magic Guard' ,'Magnet Pull' ,'Minus' ,'Mold Breaker' ,'Motor Drive' ,'Moxie' ,'Natural Cure' ,'No Guard' ,'Normalize' ,'Oblivious' ,'Overcoat' ,'Own Tempo' ,'Pickup' ,'Poison Heal' ,'Poison Point' ,'Poison Touch' ,'Pressure' ,'Quick Feet' ,'Rain Dish' ,'Reckless' ,'Regenerator' ,'Rivalry' ,'Rock Head' ,'Run Away' ,'Sand Force' ,'Sand Rush' ,'Sand Veil' ,'Sap Sipper' ,'Scrappy' ,'Serene Grace' ,'Shed Skin' ,'Sheer Force' ,'Shell Armor' ,'Simple' ,'Skill Link' ,'Sniper' ,'Snow Cloak' ,'Solar Power' ,'Solid Rock' ,'Stall' ,'Static' ,'Steadfast' ,'Sticky Hold' ,'Storm Drain' ,'Sturdy' ,'Super Luck' ,'Swarm' ,'Swift Swim' ,'Synchronize' ,'Tangled Feet' ,'Technician' ,'Thick Fat' ,'Tinted Lens' ,'Trace' ,'Unaware' ,'Unburden' ,'Unnerve' ,'Water Absorb' ,'Water Veil' ,'Weak Armor' }
@attribute Hidden {'Analytic' ,'Anger Point' ,'Anticipation' ,'Big Pecks' ,'Contrary' ,'Cursed Body' ,'Damp' ,'Defiant' ,'Dry Skin' ,'Early Bird' ,'Friend Guard' ,'Harvest' ,'Honey Gather' ,'Hustle' ,'Hydration' ,'Ice Body' ,'Infiltrator' ,'Inner Focus' ,'Justified' ,'Light Metal' ,'Moody' ,'Moxie' ,'Oblivious' ,'Overcoat' ,'Own Tempo' ,'Prankster' ,'Quick Feet' ,'Rattled' ,'Regenerator' ,'Run Away' ,'Sap Sipper' ,'Sheer Force' ,'Steadfast' ,'Technician' ,'Thick Fat' ,'Unaware' ,'Unburden' ,'Unnerve' ,'Vital Spirit' ,'Wonder Skin' }
@attribute Exp {Erratic, Fast , Fluctuating, MediumFast, MediumSlow, Slow }
@attribute class { Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Rock,Ghost,Psychic,Ice,Dragon,Dark,Steel,Flying}
@data 
0.3,3.6,serpertine,255,3,3,5,4,3,45,45,35,20,30,20,"red","forest","Shield Dust",?,?,MediumFast,Bug
2.7,52.5,serpertine,90,4,4,5,5,2,73,100,60,100,60,65,"black","grass","Shed Skin",?,?,Fluctuating,Poison
6.2,162,serpertine,60,4,3,5,5,3,95,60,79,100,125,81,"pink","water","Marvel Scale",?,?,Erratic,Water
1.7,27,serpertine,60,4,5,2,3,3,55,104,105,94,75,52,"blue","sea","Swift Swim",?,?,Erratic,Water
1.8,22.6,serpertine,60,4,3,4,3,3,55,84,105,114,75,52,"pink","sea","Swift Swim",?,?,Erratic,Water
7,206.5,serpertine,3,5,5,3,5,5,105,150,90,150,90,95,"green","rare","Air Lock",?,?,Slow,Dragon
0.2,3.4,serpertine,120,4,5,3,5,3,40,29,45,29,45,36,"gray",?,"Shed Skin",?,?,MediumFast,Bug
0.5,14.3,serpertine,45,3,5,3,5,2,60,69,95,69,95,36,"gray",?,"Anticipation",?,?,MediumFast,Bug
6.9,650,multiped,3,5,5,5,5,5,150,120,100,120,100,90,"black",?,"Pressure",?,?,Slow,Ghost
3.3,63,serpertine,45,?,?,?,?,?,75,75,95,75,95,113,"green",?,"Overgrow",?,?,MediumSlow,Grass
1.1,90,fins,190,3,3,2,4,3,65,45,55,45,70,45,"silver","sea","Thick Fat","Hydration","Ice Body",MediumFast,Water
1.7,120,fins,75,2,3,2,5,3,90,70,80,70,95,70,"silver","sea","Thick Fat","Hydration","Ice Body",MediumFast,Water
0.6,15,fins,225,4,4,3,2,3,45,67,60,35,50,63,"red","water","Swift Swim","Water Veil",?,MediumFast,Water
1.3,39,fins,60,4,4,3,3,3,80,92,65,65,80,68,"red","water","Swift Swim","Water Veil",?,MediumFast,Water
0.9,10,fins,255,5,4,3,5,4,20,10,55,15,20,80,"red","water","Swift Swim",?,?,Slow,Water
2.5,220,fins,45,3,4,4,5,3,130,85,80,85,95,60,"blue","sea","Water Absorb","Shell Armor",?,Slow,Water
0.5,12,fins,190,4,3,5,4,3,75,38,38,56,56,67,"blue","sea","Volt Absorb","Illuminate",?,Slow,Water
1.2,22.5,fins,75,3,3,3,4,4,125,58,58,76,76,67,"blue","sea","Volt Absorb","Illuminate",?,Slow,Water
0.5,3.9,fins,45,3,4,3,5,3,65,95,75,55,55,85,"gray","sea","Poison Point","Swift Swim",?,MediumFast,Water
0.6,12,fins,190,3,3,5,3,3,35,65,35,65,35,65,"gray","sea","Hustle","Sniper","Moody",MediumFast,Water
0.8,20.8,fins,225,4,4,4,3,3,45,90,20,65,20,65,"red","sea","Rough Skin",?,?,Slow,Water
1.8,88.8,fins,60,4,4,4,2,3,70,120,40,95,40,95,"blue","sea","Rough Skin",?,?,Slow,Water
2,130,fins,125,3,4,3,5,4,130,70,35,70,35,60,"blue","sea","Water Veil","Oblivious",?,Fluctuating,Water
14.5,398,fins,60,3,5,1,5,4,170,90,45,90,45,60,"blue","sea","Water Veil","Oblivious",?,Fluctuating,Water
0.4,1.9,fins,190,4,3,4,5,3,50,48,43,46,41,60,"gray","water","Oblivious","Anticipation","Hydration",MediumFast,Water
0.9,23.6,fins,75,2,5,4,5,2,110,78,73,76,71,60,"blue","water","Oblivious","Anticipation","Hydration",MediumFast,Water
0.6,7.4,fins,255,5,2,1,1,2,20,15,20,10,55,80,"brown","water","Swift Swim",?,?,Erratic,Water
0.8,39.5,fins,255,4,4,2,4,2,70,40,50,55,50,25,"blue","sea","Thick Fat","Ice Body","Oblivious",MediumSlow,Ice
1.1,87.6,fins,120,4,4,2,4,2,90,60,70,75,70,45,"blue","sea","Thick Fat","Ice Body","Oblivious",MediumSlow,Ice
1,23.4,fins,25,3,4,3,5,3,100,90,130,45,65,55,"gray","sea","Swift Swim","Rock Head",?,Slow,Water
0.6,8.7,fins,225,5,1,1,5,3,43,30,55,40,65,97,"pink","sea","Swift Swim",?,?,Fast,Water
4.5,352,fins,5,4,4,5,5,4,100,100,90,150,140,90,"blue","sea","Drizzle",?,?,Slow,Water
0.4,7,fins,190,5,2,4,4,4,49,49,56,49,61,66,"blue",?,"Swift Swim","Storm Drain",?,Erratic,Water
1.2,24,fins,75,5,3,4,5,4,69,69,76,69,86,91,"blue",?,"Swift Swim","Storm Drain",?,Erratic,Water
0.5,4.5,fins,255,?,?,?,?,?,50,50,40,50,40,64,"blue",?,"Swift Swim","Hydration",?,MediumSlow,Water
1,18,fins,25,?,?,?,?,?,70,92,65,80,55,98,"green",?,"Reckless","Adaptability",?,MediumFast,Water
1.2,31.6,fins,75,?,?,?,?,?,165,75,80,40,45,65,"pink",?,"Healer","Hydration",?,Fast,Water
0.2,0.3,fins,190,?,?,?,?,?,35,55,40,45,40,60,"silver",?,"Levitate",?,?,Slow,Electric
1.2,22,fins,60,?,?,?,?,?,65,85,70,75,70,40,"blue",?,"Levitate",?,?,Slow,Electric
2.1,80.5,fins,30,?,?,?,?,?,85,115,80,105,80,50,"blue",?,"Levitate",?,?,Slow,Electric
0.7,11,fins,75,?,?,?,?,?,109,66,84,81,99,32,"brown",?,"Static","Limber",?,MediumFast,Ground
0.4,20,headArms,255,2,3,2,4,2,40,80,100,30,30,20,"brown","mountain","Rock Head","Sturdy",?,MediumSlow,Rock
0.3,6,headArms,190,4,2,4,2,4,25,35,70,95,55,45,"gray","rough","Magnet Pull","Sturdy",?,MediumFast,Electric
0.9,30,headArms,190,1,4,2,5,2,80,80,50,40,50,25,"purple","urban","Stench","Sticky Hold",?,MediumFast,Poison
1.2,30,headArms,75,5,4,5,5,5,105,105,75,65,100,50,"purple","urban","Stench","Sticky Hold",?,MediumFast,Poison
1.6,0.1,headArms,90,4,1,5,4,4,45,50,45,115,55,95,"purple","cave","Levitate",?,?,MediumSlow,Ghost
0.4,10.3,headArms,225,2,2,2,4,2,70,43,53,43,53,40,"green","grass","Liquid Ooze","Sticky Hold",?,Fluctuating,Poison
1.7,80,headArms,75,2,4,3,5,2,100,73,83,73,83,55,"purple","grass","Liquid Ooze","Sticky Hold",?,Fluctuating,Poison
0.7,30.6,headArms,255,3,3,3,4,5,60,25,35,70,80,60,"black","mountain","Thick Fat","Own Tempo",?,Fast,Psychic
0.5,21.5,headArms,255,4,3,5,4,3,40,40,55,40,70,55,"brown","rough","Levitate",?,?,MediumFast,Ground
1.5,107.9,headArms,90,3,3,5,4,4,60,70,105,70,120,75,"black","rough","Levitate",?,?,MediumFast,Ground
0.8,15,headArms,190,4,3,3,3,4,20,40,90,30,90,25,"black","forest","Levitate",?,?,Fast,Ghost
0.6,1,headArms,45,5,2,2,2,5,65,50,70,95,80,65,"blue","grass","Levitate",?,?,Fast,Psychic
1.2,202.5,headArms,3,3,4,3,4,4,60,75,100,55,80,50,"blue","rough","Clear Body",?,?,Slow,Steel
0.4,1.2,headArms,125,5,1,4,4,5,90,50,34,60,44,70,"purple",?,"Aftermath","Unburden",?,Fluctuating,Ghost
1.2,15,headArms,60,4,3,2,5,5,150,80,44,90,54,80,"purple",?,"Aftermath","Unburden",?,Fluctuating,Ghost
1.3,187,headArms,90,1,5,3,5,5,67,89,116,79,116,33,"green",?,"Levitate","Heatproof",?,MediumFast,Steel
1.2,180,headArms,30,2,3,5,4,5,70,70,115,130,90,60,"gray",?,"Magnet Pull","Sturdy",?,MediumFast,Electric
0.9,34,headArms,30,4,5,5,1,4,85,80,70,135,75,90,"red",?,"Adaptability","Download",?,MediumFast,Normal
2.2,106.6,headArms,45,2,4,4,4,4,45,100,135,65,135,45,"black",?,"Pressure",?,?,Fast,Ghost
1.3,26.6,headArms,75,4,3,5,3,5,70,80,70,80,70,110,"silver",?,"Snow Cloak",?,?,MediumFast,Ice
0.4,3.1,headArms,30,5,2,5,3,3,80,80,80,80,80,80,"blue",?,"Hydration",?,?,Slow,Water
0.5,7.3,headArms,120,?,?,?,?,?,55,63,90,50,80,42,"green",?,"Leaf Guard","Chlorophyll",?,MediumSlow,Bug
0.5,1.5,headArms,190,?,?,?,?,?,38,30,85,55,65,30,"black",?,"Mummy",?,?,MediumFast,Ghost
1,20.1,headArms,50,?,?,?,?,?,110,65,75,125,85,30,"green",?,"Overcoat","Magic Guard",?,MediumSlow,Psychic
1,33,headArms,75,?,?,?,?,?,70,135,105,60,105,20,"gray",?,"Swarm","Shell Armor",?,MediumFast,Bug
0.2,1,headArms,190,?,?,?,?,?,69,55,45,55,55,15,"silver",?,"Effect Spore",?,?,MediumFast,Grass
0.6,10.5,headArms,75,?,?,?,?,?,114,85,70,85,80,30,"silver",?,"Effect Spore",?,?,MediumFast,Grass
0.6,13,headArms,90,?,?,?,?,?,60,40,60,95,60,55,"black",?,"Flash Fire","Flame Body",?,MediumSlow,Ghost
1,34.3,headArms,45,?,?,?,?,?,60,55,90,145,90,80,"black",?,"Flash Fire","Flame Body",?,MediumSlow,Ghost
0.8,25.3,headArms,75,?,?,?,?,?,80,70,40,100,60,145,"red",?,"Hydration","Sticky Hold",?,MediumFast,Bug
1.5,63,headArms,3,?,?,?,?,?,79,100,80,110,90,121,"green",?,"Prankster",?,?,Slow,Flying
3,65,headArms,3,?,?,?,?,?,79,105,70,145,80,101,"blue",?,"Prankster",?,?,Slow,Electric
1.5,68,headArms,3,?,?,?,?,?,89,145,90,105,80,91,"brown",?,"Sand Force",?,?,Slow,Ground
0.2,0.8,headBase,255,5,2,4,4,1,10,55,25,35,45,95,"brown","cave","Sand Veil","Arena Trap",?,MediumFast,Ground
1,6.4,headBase,120,2,3,2,4,3,65,90,50,85,45,55,"green","forest","Chlorophyll",?,?,MediumSlow,Grass
1.7,15.5,headBase,45,1,4,4,4,3,80,105,65,100,60,70,"green","forest","Chlorophyll",?,?,MediumSlow,Grass
0.4,8,headBase,225,4,3,3,3,3,30,40,70,70,25,60,"blue","sea","Swift Swim","Sniper","Damp",MediumFast,Water
1.2,25,headBase,75,3,3,4,4,3,55,65,95,95,45,85,"blue","sea","Poison Point","Sniper","Damp",MediumFast,Water
0.8,34.5,headBase,225,5,3,3,3,3,30,45,55,70,55,85,"brown","sea","Illuminate","Natural Cure",?,Slow,Water
1.1,80,headBase,60,5,5,3,3,4,60,75,85,100,85,115,"purple","sea","Illuminate","Natural Cure",?,Slow,Water
1.3,28.5,headBase,45,2,4,5,5,3,190,33,58,33,58,33,"blue","cave","Shadow Tag",?,?,MediumFast,Psychic
1.8,152,headBase,45,5,4,3,5,2,75,95,95,95,95,85,"blue","sea","Swift Swim","Sniper","Damp",MediumFast,Water
0.8,1.2,headBase,45,2,3,3,5,5,1,90,45,30,30,40,"brown","forest","Wonder Guard",?,?,Erratic,Bug
1,23.8,headBase,45,3,4,3,5,2,66,41,77,61,87,23,"purple","sea","Suction Cups",?,?,Erratic,Rock
