@relation 'PokeSet-weka.filters.unsupervised.attribute.Remove-R1-2,4-15-weka.filters.unsupervised.attribute.Remove-R6'

@attribute Body {head,serpertine,fins,headArms,headBase,bipedalTailed,headLegs,quadruped,singleWings,multiped,multiBody,bipedalTailless,TwoMoreWings,insectoid}
@attribute Color {black,blue,brown,gray,green,pink,purple,red,silver,yellow}
@attribute Habitat {cave,forest,grass,mountain,rare,rough,sea,urban,water}
@attribute Ability1 {Adaptability,Aftermath,'Air Lock',Anticipation,'Bad Dreams','Battle Armor','Big Pecks',Blaze,Chlorophyll,'Clear Body','Color Change','Compound Eyes','Cute Charm',Damp,Defeatist,Defiant,Download,Drizzle,Drought,'Early Bird','Effect Spore','Flame Body','Flash Fire','Flower Gift',Forecast,Forewarn,Frisk,Gluttony,Guts,Healer,'Honey Gather',Hustle,Hydration,'Hyper Cutter','Ice Body',Illuminate,Illusion,Immunity,'Inner Focus',Insomnia,Intimidate,'Iron Barbs','Iron Fist',Justified,'Keen Eye','Leaf Guard',Levitate,Lightningrod,Limber,'Liquid Ooze','Magma Armor','Magnet Pull','Marvel Scale',Minus,'Mold Breaker','Motor Drive',Multitype,Mummy,'Natural Cure',Oblivious,Overcoat,Overgrow,'Own Tempo',Pickup,Plus,'Poison Point',Prankster,Pressure,'Pure Power',Reckless,Rivalry,'Rock Head','Rough Skin','Run Away','Sand Force','Sand Rush','Sand Stream','Sand Veil','Serene Grace','Shadow Tag','Shed Skin','Sheer Force','Shell Armor','Shield Dust',Simple,'Slow Start','Snow Cloak','Snow Warning','Solid Rock',Soundproof,'Speed Boost',Static,Steadfast,Stench,'Sticky Hold',Sturdy,'Suction Cups',Swarm,'Swift Swim',Synchronize,Technician,Telepathy,Teravolt,'Thick Fat',Torrent,Trace,Truant,Turboblaze,Unaware,'Victory Star','Vital Spirit','Volt Absorb','Water Absorb','Water Veil','White Smoke','Wonder Guard','Wonder Skin'}
@attribute Ability2 {Adaptability,Aftermath,'Anger Point',Anticipation,'Arena Trap','Battle Armor','Big Pecks',Chlorophyll,'Cloud Nine','Compound Eyes','Cursed Body',Damp,Download,'Dry Skin','Early Bird',Filter,'Flame Body','Flash Fire',Forewarn,Frisk,Gluttony,Guts,Heatproof,'Huge Power',Hustle,Hydration,'Ice Body',Illuminate,Infiltrator,'Inner Focus',Insomnia,Intimidate,'Iron Fist','Keen Eye',Klutz,'Leaf Guard',Lightningrod,Limber,'Liquid Ooze','Magic Guard','Magnet Pull',Minus,'Mold Breaker','Motor Drive',Moxie,'Natural Cure','No Guard',Normalize,Oblivious,Overcoat,'Own Tempo',Pickup,'Poison Heal','Poison Point','Poison Touch',Pressure,'Quick Feet','Rain Dish',Reckless,Regenerator,Rivalry,'Rock Head','Run Away','Sand Force','Sand Rush','Sand Veil','Sap Sipper',Scrappy,'Serene Grace','Shed Skin','Sheer Force','Shell Armor',Simple,'Skill Link',Sniper,'Snow Cloak','Solar Power','Solid Rock',Stall,Static,Steadfast,'Sticky Hold','Storm Drain',Sturdy,'Super Luck',Swarm,'Swift Swim',Synchronize,'Tangled Feet',Technician,'Thick Fat','Tinted Lens',Trace,Unaware,Unburden,Unnerve,'Water Absorb','Water Veil','Weak Armor'}
@attribute Exp {Erratic,Fast,Fluctuating,MediumFast,MediumSlow,Slow}
@attribute class {Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Rock,Ghost,Psychic,Ice,Dragon,Dark,Steel,Flying}

@data
fins,blue,sea,'Water Absorb','Shell Armor',Slow,Water
fins,blue,sea,'Volt Absorb',Illuminate,Slow,Water
fins,blue,sea,'Volt Absorb',Illuminate,Slow,Water
fins,gray,sea,'Poison Point','Swift Swim',MediumFast,Water
fins,gray,sea,Hustle,Sniper,MediumFast,Water
fins,red,sea,'Rough Skin',?,Slow,Water
fins,blue,sea,'Rough Skin',?,Slow,Water
fins,blue,sea,'Water Veil',Oblivious,Fluctuating,Water
fins,blue,sea,'Water Veil',Oblivious,Fluctuating,Water
fins,gray,water,Oblivious,Anticipation,MediumFast,Water
fins,blue,water,Oblivious,Anticipation,MediumFast,Water
fins,brown,water,'Swift Swim',?,Erratic,Water
fins,blue,sea,'Thick Fat','Ice Body',MediumSlow,Ice
fins,blue,sea,'Thick Fat','Ice Body',MediumSlow,Ice
fins,gray,sea,'Swift Swim','Rock Head',Slow,Water
fins,pink,sea,'Swift Swim',?,Fast,Water
fins,blue,sea,Drizzle,?,Slow,Water
fins,blue,?,'Swift Swim','Storm Drain',Erratic,Water
fins,blue,?,'Swift Swim','Storm Drain',Erratic,Water
fins,blue,?,'Swift Swim',Hydration,MediumSlow,Water
fins,green,?,Reckless,Adaptability,MediumFast,Water
fins,pink,?,Healer,Hydration,Fast,Water
fins,silver,?,Levitate,?,Slow,Electric
fins,blue,?,Levitate,?,Slow,Electric
fins,blue,?,Levitate,?,Slow,Electric
fins,brown,?,Static,Limber,MediumFast,Ground
headArms,brown,mountain,'Rock Head',Sturdy,MediumSlow,Rock
headArms,gray,rough,'Magnet Pull',Sturdy,MediumFast,Electric
headArms,purple,urban,Stench,'Sticky Hold',MediumFast,Poison
headArms,purple,urban,Stench,'Sticky Hold',MediumFast,Poison
headArms,purple,cave,Levitate,?,MediumSlow,Ghost
headArms,green,grass,'Liquid Ooze','Sticky Hold',Fluctuating,Poison
headArms,purple,grass,'Liquid Ooze','Sticky Hold',Fluctuating,Poison
headArms,black,mountain,'Thick Fat','Own Tempo',Fast,Psychic
headArms,brown,rough,Levitate,?,MediumFast,Ground
headArms,black,rough,Levitate,?,MediumFast,Ground
headArms,black,forest,Levitate,?,Fast,Ghost
headArms,blue,grass,Levitate,?,Fast,Psychic
headArms,blue,rough,'Clear Body',?,Slow,Steel
headArms,purple,?,Aftermath,Unburden,Fluctuating,Ghost
headArms,purple,?,Aftermath,Unburden,Fluctuating,Ghost
headArms,green,?,Levitate,Heatproof,MediumFast,Steel
headArms,gray,?,'Magnet Pull',Sturdy,MediumFast,Electric
headArms,red,?,Adaptability,Download,MediumFast,Normal
headArms,black,?,Pressure,?,Fast,Ghost
headArms,silver,?,'Snow Cloak',?,MediumFast,Ice
headArms,blue,?,Hydration,?,Slow,Water
headArms,green,?,'Leaf Guard',Chlorophyll,MediumSlow,Bug
headArms,black,?,Mummy,?,MediumFast,Ghost
headArms,green,?,Overcoat,'Magic Guard',MediumSlow,Psychic
headArms,gray,?,Swarm,'Shell Armor',MediumFast,Bug
headArms,silver,?,'Effect Spore',?,MediumFast,Grass
headArms,silver,?,'Effect Spore',?,MediumFast,Grass
headArms,black,?,'Flash Fire','Flame Body',MediumSlow,Ghost
headArms,black,?,'Flash Fire','Flame Body',MediumSlow,Ghost
headArms,red,?,Hydration,'Sticky Hold',MediumFast,Bug
headArms,green,?,Prankster,?,Slow,Flying
headArms,blue,?,Prankster,?,Slow,Electric
headArms,brown,?,'Sand Force',?,Slow,Ground
headBase,brown,cave,'Sand Veil','Arena Trap',MediumFast,Ground
headBase,green,forest,Chlorophyll,?,MediumSlow,Grass
headBase,green,forest,Chlorophyll,?,MediumSlow,Grass
headBase,blue,sea,'Swift Swim',Sniper,MediumFast,Water
headBase,blue,sea,'Poison Point',Sniper,MediumFast,Water
headBase,brown,sea,Illuminate,'Natural Cure',Slow,Water
headBase,purple,sea,Illuminate,'Natural Cure',Slow,Water
headBase,blue,cave,'Shadow Tag',?,MediumFast,Psychic
headBase,blue,sea,'Swift Swim',Sniper,MediumFast,Water
headBase,brown,forest,'Wonder Guard',?,Erratic,Bug
headBase,purple,sea,'Suction Cups',?,Erratic,Rock
headBase,green,sea,'Suction Cups',?,Erratic,Rock
headBase,blue,rough,'Clear Body',?,Slow,Steel
headBase,purple,?,Pressure,?,MediumFast,Ghost
headBase,green,?,Chlorophyll,'Own Tempo',MediumFast,Grass
headBase,green,?,Chlorophyll,'Own Tempo',MediumFast,Grass
headBase,green,?,'Water Absorb',Chlorophyll,MediumFast,Grass
headBase,yellow,?,Mummy,?,MediumFast,Ghost
headBase,silver,?,'Ice Body',?,Slow,Ice
headBase,silver,?,'Ice Body',?,Slow,Ice
headBase,silver,?,'Flash Fire','Flame Body',MediumSlow,Ghost
bipedalTailed,red,mountain,Blaze,?,MediumSlow,Fire
bipedalTailed,red,mountain,Blaze,?,MediumSlow,Fire
bipedalTailed,red,mountain,Blaze,?,MediumSlow,Fire
bipedalTailed,blue,water,Torrent,?,MediumSlow,Water
bipedalTailed,blue,water,Torrent,?,MediumSlow,Water
bipedalTailed,blue,water,Torrent,?,MediumSlow,Water
bipedalTailed,yellow,forest,Static,?,MediumFast,Electric
bipedalTailed,yellow,rough,'Sand Veil',?,MediumFast,Ground
bipedalTailed,yellow,rough,'Sand Veil',?,MediumFast,Ground
bipedalTailed,blue,grass,'Poison Point',Rivalry,MediumSlow,Poison
bipedalTailed,purple,grass,'Poison Point',Rivalry,MediumSlow,Poison
bipedalTailed,pink,mountain,'Cute Charm','Magic Guard',Fast,Fairy
bipedalTailed,pink,mountain,'Cute Charm','Magic Guard',Fast,Fairy
bipedalTailed,yellow,water,Damp,'Cloud Nine',MediumFast,Water
bipedalTailed,blue,water,Damp,'Cloud Nine',MediumFast,Water
bipedalTailed,brown,mountain,'Vital Spirit','Anger Point',MediumFast,Fighting
bipedalTailed,brown,mountain,'Vital Spirit','Anger Point',MediumFast,Fighting
bipedalTailed,brown,urban,Synchronize,'Inner Focus',MediumSlow,Psychic
bipedalTailed,brown,urban,Synchronize,'Inner Focus',MediumSlow,Psychic
bipedalTailed,gray,mountain,Guts,'No Guard',MediumSlow,Fighting
bipedalTailed,pink,water,Oblivious,'Own Tempo',MediumFast,Water
bipedalTailed,purple,cave,Levitate,?,MediumSlow,Ghost
bipedalTailed,brown,mountain,'Rock Head',Lightningrod,MediumFast,Ground
bipedalTailed,brown,mountain,'Rock Head',Lightningrod,MediumFast,Ground
bipedalTailed,pink,grass,'Own Tempo',Oblivious,MediumFast,Normal
bipedalTailed,gray,rough,Lightningrod,'Rock Head',Slow,Ground
bipedalTailed,pink,urban,'Natural Cure','Serene Grace',Fast,Normal
bipedalTailed,brown,grass,'Early Bird',Scrappy,MediumFast,Normal
bipedalTailed,yellow,grass,Static,?,MediumFast,Electric
bipedalTailed,red,mountain,'Flame Body',?,MediumFast,Fire
bipedalTailed,brown,sea,'Swift Swim','Battle Armor',MediumFast,Rock
bipedalTailed,brown,water,'Inner Focus',?,Slow,Dragon
bipedalTailed,purple,rare,Pressure,?,Slow,Psychic
bipedalTailed,pink,rare,Synchronize,?,MediumSlow,Psychic
bipedalTailed,blue,water,Torrent,?,MediumSlow,Water
bipedalTailed,blue,water,Torrent,?,MediumSlow,Water
bipedalTailed,blue,water,Torrent,?,MediumSlow,Water
bipedalTailed,pink,mountain,'Cute Charm','Magic Guard',Fast,Fairy
bipedalTailed,pink,grass,Static,?,MediumSlow,Electric
bipedalTailed,yellow,grass,Static,?,MediumSlow,Electric
bipedalTailed,blue,water,'Thick Fat','Huge Power',Fast,Water
bipedalTailed,blue,water,'Thick Fat','Huge Power',Fast,Water
bipedalTailed,pink,grass,Chlorophyll,'Leaf Guard',MediumSlow,Grass
bipedalTailed,green,grass,Chlorophyll,'Leaf Guard',MediumSlow,Grass
bipedalTailed,blue,grass,Chlorophyll,'Leaf Guard',MediumSlow,Grass
bipedalTailed,purple,forest,'Run Away',Pickup,Fast,Normal
bipedalTailed,blue,water,Damp,'Water Absorb',MediumFast,Water
bipedalTailed,pink,water,Oblivious,'Own Tempo',MediumFast,Water
bipedalTailed,purple,urban,Intimidate,'Quick Feet',Fast,Fairy
bipedalTailed,black,forest,'Inner Focus','Keen Eye',MediumSlow,Dark
bipedalTailed,brown,mountain,Pickup,'Quick Feet',MediumFast,Normal
bipedalTailed,brown,mountain,Guts,'Quick Feet',MediumFast,Normal
bipedalTailed,silver,urban,'Own Tempo',Technician,Fast,Normal
bipedalTailed,brown,urban,Intimidate,Technician,MediumFast,Fighting
bipedalTailed,red,mountain,'Flame Body',?,MediumFast,Fire
bipedalTailed,pink,grass,'Thick Fat',Scrappy,Slow,Normal
bipedalTailed,green,mountain,Guts,?,Slow,Rock
bipedalTailed,green,mountain,'Sand Stream',?,Slow,Rock
bipedalTailed,green,forest,Overgrow,?,MediumSlow,Grass
bipedalTailed,green,forest,Overgrow,?,MediumSlow,Grass
bipedalTailed,green,forest,Overgrow,?,MediumSlow,Grass
bipedalTailed,red,grass,Blaze,?,MediumSlow,Fire
bipedalTailed,red,grass,Blaze,?,MediumSlow,Fire
bipedalTailed,blue,water,Torrent,?,MediumSlow,Water
bipedalTailed,blue,water,Torrent,?,MediumSlow,Water
bipedalTailed,green,forest,'Effect Spore','Poison Heal',Fluctuating,Grass
bipedalTailed,silver,forest,'Vital Spirit',?,Slow,Normal
bipedalTailed,pink,cave,Soundproof,?,MediumSlow,Normal
bipedalTailed,blue,cave,Soundproof,?,MediumSlow,Normal
bipedalTailed,blue,cave,Soundproof,?,MediumSlow,Normal
bipedalTailed,gray,mountain,Sturdy,'Rock Head',Slow,Steel
bipedalTailed,yellow,grass,Plus,?,MediumFast,Electric
bipedalTailed,yellow,grass,Minus,?,MediumFast,Electric
bipedalTailed,gray,forest,Illuminate,Swarm,Erratic,Bug
bipedalTailed,purple,mountain,'Thick Fat','Own Tempo',Fast,Psychic
bipedalTailed,brown,mountain,'Own Tempo','Tangled Feet',Fast,Normal
bipedalTailed,silver,grass,Immunity,?,Erratic,Normal
bipedalTailed,gray,water,'Battle Armor',?,Erratic,Rock
bipedalTailed,green,forest,'Color Change',?,MediumSlow,Normal
bipedalTailed,black,urban,Insomnia,Frisk,Fast,Ghost
bipedalTailed,blue,cave,'Shadow Tag',?,MediumFast,Psychic
bipedalTailed,red,rough,Drought,?,Slow,Ground
bipedalTailed,brown,?,Blaze,?,MediumSlow,Fire
bipedalTailed,brown,?,Blaze,?,MediumSlow,Fire
bipedalTailed,brown,?,Blaze,?,MediumSlow,Fire
bipedalTailed,blue,?,Torrent,?,MediumSlow,Water
bipedalTailed,blue,?,Torrent,?,MediumSlow,Water
bipedalTailed,brown,?,Simple,Unaware,MediumFast,Normal
bipedalTailed,blue,?,'Mold Breaker',?,Erratic,Rock
bipedalTailed,blue,?,'Mold Breaker',?,Erratic,Rock
bipedalTailed,purple,?,Technician,Pickup,Fast,Normal
bipedalTailed,brown,?,'Run Away',Klutz,MediumFast,Normal
bipedalTailed,brown,?,'Cute Charm',Klutz,MediumFast,Normal
bipedalTailed,blue,?,'Sand Veil',?,Slow,Dragon
bipedalTailed,blue,?,'Sand Veil',?,Slow,Dragon
bipedalTailed,blue,?,'Sand Veil',?,Slow,Dragon
bipedalTailed,blue,?,Steadfast,'Inner Focus',MediumSlow,Fighting
bipedalTailed,blue,?,Steadfast,'Inner Focus',MediumSlow,Fighting
bipedalTailed,silver,?,'Snow Warning',?,Slow,Grass
bipedalTailed,silver,?,'Snow Warning',?,Slow,Grass
bipedalTailed,black,?,Pressure,?,MediumSlow,Dark
bipedalTailed,gray,?,Lightningrod,'Solid Rock',Slow,Ground
bipedalTailed,yellow,?,'Motor Drive',?,MediumFast,Electric
bipedalTailed,red,?,'Flame Body',?,MediumFast,Fire
bipedalTailed,yellow,?,Levitate,?,Slow,Psychic
bipedalTailed,pink,?,Levitate,?,Slow,Psychic
bipedalTailed,blue,?,Levitate,?,Slow,Psychic
bipedalTailed,purple,?,Pressure,?,Slow,Water
bipedalTailed,green,?,Overgrow,?,MediumSlow,Grass
bipedalTailed,green,?,Overgrow,?,MediumSlow,Grass
bipedalTailed,red,?,Blaze,?,MediumSlow,Fire
bipedalTailed,red,?,Blaze,?,MediumSlow,Fire
bipedalTailed,blue,?,Torrent,?,MediumSlow,Water
bipedalTailed,blue,?,Torrent,?,MediumSlow,Water
bipedalTailed,brown,?,Illuminate,'Keen Eye',MediumFast,Normal
bipedalTailed,green,?,Gluttony,?,MediumFast,Grass
bipedalTailed,green,?,Gluttony,?,MediumFast,Grass
bipedalTailed,red,?,Gluttony,?,MediumFast,Fire
bipedalTailed,red,?,Gluttony,?,MediumFast,Fire
bipedalTailed,blue,?,Gluttony,?,MediumFast,Water
bipedalTailed,blue,?,Gluttony,?,MediumFast,Water
bipedalTailed,gray,?,'Sand Rush','Sand Force',MediumFast,Ground
bipedalTailed,pink,?,Healer,Regenerator,Fast,Normal
bipedalTailed,blue,?,'Swift Swim',Hydration,MediumSlow,Water
bipedalTailed,red,?,Intimidate,Moxie,MediumSlow,Ground
bipedalTailed,yellow,?,'Shed Skin',Moxie,MediumFast,Dark
bipedalTailed,red,?,'Shed Skin',Moxie,MediumFast,Dark
bipedalTailed,blue,?,'Solid Rock',Sturdy,MediumFast,Water
bipedalTailed,gray,?,Illusion,?,MediumSlow,Dark
bipedalTailed,blue,?,Telepathy,Synchronize,MediumFast,Psychic
bipedalTailed,green,?,Rivalry,'Mold Breaker',Slow,Dragon
bipedalTailed,green,?,Rivalry,'Mold Breaker',Slow,Dragon
bipedalTailed,yellow,?,Rivalry,'Mold Breaker',Slow,Dragon
bipedalTailed,silver,?,'Snow Cloak',?,MediumFast,Ice
bipedalTailed,yellow,?,'Inner Focus',Regenerator,MediumSlow,Fighting
bipedalTailed,purple,?,'Inner Focus',Regenerator,MediumSlow,Fighting
bipedalTailed,red,?,'Rough Skin','Sheer Force',MediumFast,Dragon
bipedalTailed,red,?,Gluttony,'Flash Fire',MediumFast,Fire
bipedalTailed,blue,?,Levitate,?,Slow,Dark
bipedalTailed,black,?,Teravolt,?,Slow,Dragon
bipedalTailed,gray,?,Pressure,?,Slow,Dragon
headLegs,blue,grass,Chlorophyll,?,MediumSlow,Grass
headLegs,blue,water,'Water Absorb',Damp,MediumSlow,Water
headLegs,brown,grass,'Run Away','Early Bird',MediumFast,Normal
headLegs,brown,grass,'Run Away','Early Bird',MediumFast,Normal
headLegs,yellow,forest,Chlorophyll,?,Slow,Grass
headLegs,blue,grass,Chlorophyll,'Leaf Guard',MediumFast,Grass
headLegs,pink,urban,Trace,Download,MediumFast,Normal
headLegs,blue,water,Damp,'Water Absorb',MediumFast,Water
headLegs,red,urban,Trace,Download,MediumFast,Normal
headLegs,red,grass,Blaze,?,MediumSlow,Fire
headLegs,brown,forest,Chlorophyll,'Early Bird',MediumSlow,Grass
headLegs,brown,forest,'Effect Spore','Poison Heal',Fluctuating,Grass
headLegs,blue,water,'Thick Fat','Huge Power',Fast,Normal
headLegs,pink,?,'Flower Gift',?,MediumFast,Grass
headLegs,brown,?,Sturdy,'Rock Head',MediumFast,Rock
headLegs,blue,?,Sturdy,?,MediumSlow,Rock
quadruped,green,grass,Overgrow,?,MediumSlow,Grass
quadruped,green,grass,Overgrow,?,MediumSlow,Grass
quadruped,green,grass,Overgrow,?,MediumSlow,Grass
quadruped,purple,grass,'Run Away',Guts,MediumFast,Normal
quadruped,brown,grass,'Run Away',Guts,MediumFast,Normal
quadruped,yellow,forest,Static,?,MediumFast,Electric
quadruped,blue,grass,'Poison Point',Rivalry,MediumSlow,Poison
quadruped,blue,grass,'Poison Point',Rivalry,MediumSlow,Poison
quadruped,purple,grass,'Poison Point',Rivalry,MediumSlow,Poison
quadruped,purple,grass,'Poison Point',Rivalry,MediumSlow,Poison
quadruped,brown,grass,'Flash Fire',?,MediumFast,Fire
quadruped,yellow,grass,'Flash Fire',?,MediumFast,Fire
quadruped,yellow,urban,Pickup,Technician,MediumFast,Normal
quadruped,yellow,urban,Limber,Technician,MediumFast,Normal
quadruped,brown,grass,Intimidate,'Flash Fire',Slow,Fire
quadruped,brown,grass,Intimidate,'Flash Fire',Slow,Fire
quadruped,yellow,grass,'Run Away','Flash Fire',MediumFast,Fire
quadruped,yellow,grass,'Run Away','Flash Fire',MediumFast,Fire
quadruped,pink,water,Oblivious,'Own Tempo',MediumFast,Water
quadruped,gray,rough,Lightningrod,'Rock Head',Slow,Ground
quadruped,brown,grass,Intimidate,'Anger Point',Slow,Normal
quadruped,brown,urban,'Run Away',Adaptability,MediumFast,Normal
quadruped,blue,urban,'Water Absorb',?,MediumFast,Water
quadruped,yellow,urban,'Volt Absorb',?,MediumFast,Electric
quadruped,red,urban,'Flash Fire',?,MediumFast,Fire
quadruped,green,grass,Overgrow,?,MediumSlow,Grass
quadruped,green,grass,Overgrow,?,MediumSlow,Grass
quadruped,green,grass,Overgrow,?,MediumSlow,Grass
quadruped,yellow,grass,Blaze,?,MediumSlow,Fire
quadruped,yellow,grass,Blaze,?,MediumSlow,Fire
quadruped,brown,grass,'Run Away','Keen Eye',MediumFast,Normal
quadruped,brown,grass,'Run Away','Keen Eye',MediumFast,Normal
quadruped,yellow,forest,Static,?,MediumFast,Electric
quadruped,silver,grass,Static,?,MediumSlow,Electric
quadruped,purple,urban,Synchronize,?,MediumFast,Psychic
quadruped,black,urban,Synchronize,?,MediumFast,Dark
