@relation 'PokeSet-weka.filters.unsupervised.attribute.Remove-R1-2,4-15-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute Body {head,serpertine,fins,headArms,headBase,bipedalTailed,headLegs,quadruped,singleWings,multiped,multiBody,bipedalTailless,TwoMoreWings,insectoid}
@attribute Color {black,blue,brown,gray,green,pink,purple,red,silver,yellow}
@attribute Habitat {cave,forest,grass,mountain,rare,rough,sea,urban,water}
@attribute Ability1 {Adaptability,Aftermath,'Air Lock',Anticipation,'Bad Dreams','Battle Armor','Big Pecks',Blaze,Chlorophyll,'Clear Body','Color Change','Compound Eyes','Cute Charm',Damp,Defeatist,Defiant,Download,Drizzle,Drought,'Early Bird','Effect Spore','Flame Body','Flash Fire','Flower Gift',Forecast,Forewarn,Frisk,Gluttony,Guts,Healer,'Honey Gather',Hustle,Hydration,'Hyper Cutter','Ice Body',Illuminate,Illusion,Immunity,'Inner Focus',Insomnia,Intimidate,'Iron Barbs','Iron Fist',Justified,'Keen Eye','Leaf Guard',Levitate,Lightningrod,Limber,'Liquid Ooze','Magma Armor','Magnet Pull','Marvel Scale',Minus,'Mold Breaker','Motor Drive',Multitype,Mummy,'Natural Cure',Oblivious,Overcoat,Overgrow,'Own Tempo',Pickup,Plus,'Poison Point',Prankster,Pressure,'Pure Power',Reckless,Rivalry,'Rock Head','Rough Skin','Run Away','Sand Force','Sand Rush','Sand Stream','Sand Veil','Serene Grace','Shadow Tag','Shed Skin','Sheer Force','Shell Armor','Shield Dust',Simple,'Slow Start','Snow Cloak','Snow Warning','Solid Rock',Soundproof,'Speed Boost',Static,Steadfast,Stench,'Sticky Hold',Sturdy,'Suction Cups',Swarm,'Swift Swim',Synchronize,Technician,Telepathy,Teravolt,'Thick Fat',Torrent,Trace,Truant,Turboblaze,Unaware,'Victory Star','Vital Spirit','Volt Absorb','Water Absorb','Water Veil','White Smoke','Wonder Guard','Wonder Skin'}
@attribute Ability2 {Adaptability,Aftermath,'Anger Point',Anticipation,'Arena Trap','Battle Armor','Big Pecks',Chlorophyll,'Cloud Nine','Compound Eyes','Cursed Body',Damp,Download,'Dry Skin','Early Bird',Filter,'Flame Body','Flash Fire',Forewarn,Frisk,Gluttony,Guts,Heatproof,'Huge Power',Hustle,Hydration,'Ice Body',Illuminate,Infiltrator,'Inner Focus',Insomnia,Intimidate,'Iron Fist','Keen Eye',Klutz,'Leaf Guard',Lightningrod,Limber,'Liquid Ooze','Magic Guard','Magnet Pull',Minus,'Mold Breaker','Motor Drive',Moxie,'Natural Cure','No Guard',Normalize,Oblivious,Overcoat,'Own Tempo',Pickup,'Poison Heal','Poison Point','Poison Touch',Pressure,'Quick Feet','Rain Dish',Reckless,Regenerator,Rivalry,'Rock Head','Run Away','Sand Force','Sand Rush','Sand Veil','Sap Sipper',Scrappy,'Serene Grace','Shed Skin','Sheer Force','Shell Armor',Simple,'Skill Link',Sniper,'Snow Cloak','Solar Power','Solid Rock',Stall,Static,Steadfast,'Sticky Hold','Storm Drain',Sturdy,'Super Luck',Swarm,'Swift Swim',Synchronize,'Tangled Feet',Technician,'Thick Fat','Tinted Lens',Trace,Unaware,Unburden,Unnerve,'Water Absorb','Water Veil','Weak Armor'}
@attribute Exp {Erratic,Fast,Fluctuating,MediumFast,MediumSlow,Slow}
@attribute class {Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Rock,Ghost,Psychic,Ice,Dragon,Dark,Steel,Flying}

@data
serpertine,green,grass,Overgrow,'Shell Armor',MediumSlow,Grass
fins,silver,sea,'Thick Fat',Hydration,MediumFast,Water
fins,silver,sea,'Thick Fat',Hydration,MediumFast,Water
fins,red,water,'Swift Swim','Water Veil',MediumFast,Water
fins,red,water,'Swift Swim','Water Veil',MediumFast,Water
fins,red,water,'Swift Swim','Shell Armor',Slow,Water
fins,blue,sea,'Water Absorb','Shell Armor',Slow,Water
fins,blue,sea,'Volt Absorb',Illuminate,Slow,Water
fins,blue,sea,'Volt Absorb',Illuminate,Slow,Water
fins,gray,sea,'Poison Point','Swift Swim',MediumFast,Water
fins,gray,sea,Hustle,Sniper,MediumFast,Water
fins,red,sea,'Rough Skin','Shell Armor',Slow,Water
fins,blue,sea,'Rough Skin','Shell Armor',Slow,Water
fins,blue,sea,'Water Veil',Oblivious,Fluctuating,Water
fins,blue,sea,'Water Veil',Oblivious,Fluctuating,Water
fins,gray,water,Oblivious,Anticipation,MediumFast,Water
fins,blue,water,Oblivious,Anticipation,MediumFast,Water
fins,brown,water,'Swift Swim','Shell Armor',Erratic,Water
fins,blue,sea,'Thick Fat','Ice Body',MediumSlow,Ice
fins,blue,sea,'Thick Fat','Ice Body',MediumSlow,Ice
fins,gray,sea,'Swift Swim','Rock Head',Slow,Water
fins,pink,sea,'Swift Swim','Shell Armor',Fast,Water
fins,blue,sea,Drizzle,'Shell Armor',Slow,Water
fins,blue,grass,'Swift Swim','Storm Drain',Erratic,Water
fins,blue,grass,'Swift Swim','Storm Drain',Erratic,Water
fins,blue,grass,'Swift Swim',Hydration,MediumSlow,Water
fins,green,grass,Reckless,Adaptability,MediumFast,Water
fins,pink,grass,Healer,Hydration,Fast,Water
fins,silver,grass,Levitate,'Shell Armor',Slow,Electric
fins,blue,grass,Levitate,'Shell Armor',Slow,Electric
fins,blue,grass,Levitate,'Shell Armor',Slow,Electric
fins,brown,grass,Static,Limber,MediumFast,Ground
headArms,brown,mountain,'Rock Head',Sturdy,MediumSlow,Rock
headArms,gray,rough,'Magnet Pull',Sturdy,MediumFast,Electric
headArms,purple,urban,Stench,'Sticky Hold',MediumFast,Poison
headArms,purple,urban,Stench,'Sticky Hold',MediumFast,Poison
headArms,purple,cave,Levitate,'Shell Armor',MediumSlow,Ghost
headArms,green,grass,'Liquid Ooze','Sticky Hold',Fluctuating,Poison
headArms,purple,grass,'Liquid Ooze','Sticky Hold',Fluctuating,Poison
headArms,black,mountain,'Thick Fat','Own Tempo',Fast,Psychic
headArms,brown,rough,Levitate,'Shell Armor',MediumFast,Ground
headArms,black,rough,Levitate,'Shell Armor',MediumFast,Ground
headArms,black,forest,Levitate,'Shell Armor',Fast,Ghost
headArms,blue,grass,Levitate,'Shell Armor',Fast,Psychic
headArms,blue,rough,'Clear Body','Shell Armor',Slow,Steel
headArms,purple,grass,Aftermath,Unburden,Fluctuating,Ghost
headArms,purple,grass,Aftermath,Unburden,Fluctuating,Ghost
headArms,green,grass,Levitate,Heatproof,MediumFast,Steel
headArms,gray,grass,'Magnet Pull',Sturdy,MediumFast,Electric
headArms,red,grass,Adaptability,Download,MediumFast,Normal
headArms,black,grass,Pressure,'Shell Armor',Fast,Ghost
headArms,silver,grass,'Snow Cloak','Shell Armor',MediumFast,Ice
headArms,blue,grass,Hydration,'Shell Armor',Slow,Water
headArms,green,grass,'Leaf Guard',Chlorophyll,MediumSlow,Bug
headArms,black,grass,Mummy,'Shell Armor',MediumFast,Ghost
headArms,green,grass,Overcoat,'Magic Guard',MediumSlow,Psychic
headArms,gray,grass,Swarm,'Shell Armor',MediumFast,Bug
headArms,silver,grass,'Effect Spore','Shell Armor',MediumFast,Grass
headArms,silver,grass,'Effect Spore','Shell Armor',MediumFast,Grass
headArms,black,grass,'Flash Fire','Flame Body',MediumSlow,Ghost
headArms,black,grass,'Flash Fire','Flame Body',MediumSlow,Ghost
headArms,red,grass,Hydration,'Sticky Hold',MediumFast,Bug
headArms,green,grass,Prankster,'Shell Armor',Slow,Flying
headArms,blue,grass,Prankster,'Shell Armor',Slow,Electric
headArms,brown,grass,'Sand Force','Shell Armor',Slow,Ground
headBase,brown,cave,'Sand Veil','Arena Trap',MediumFast,Ground
headBase,green,forest,Chlorophyll,'Shell Armor',MediumSlow,Grass
headBase,green,forest,Chlorophyll,'Shell Armor',MediumSlow,Grass
headBase,blue,sea,'Swift Swim',Sniper,MediumFast,Water
headBase,blue,sea,'Poison Point',Sniper,MediumFast,Water
headBase,brown,sea,Illuminate,'Natural Cure',Slow,Water
headBase,purple,sea,Illuminate,'Natural Cure',Slow,Water
headBase,blue,cave,'Shadow Tag','Shell Armor',MediumFast,Psychic
headBase,blue,sea,'Swift Swim',Sniper,MediumFast,Water
headBase,brown,forest,'Wonder Guard','Shell Armor',Erratic,Bug
headBase,purple,sea,'Suction Cups','Shell Armor',Erratic,Rock
headBase,green,sea,'Suction Cups','Shell Armor',Erratic,Rock
headBase,blue,rough,'Clear Body','Shell Armor',Slow,Steel
headBase,purple,grass,Pressure,'Shell Armor',MediumFast,Ghost
headBase,green,grass,Chlorophyll,'Own Tempo',MediumFast,Grass
headBase,green,grass,Chlorophyll,'Own Tempo',MediumFast,Grass
headBase,green,grass,'Water Absorb',Chlorophyll,MediumFast,Grass
headBase,yellow,grass,Mummy,'Shell Armor',MediumFast,Ghost
headBase,silver,grass,'Ice Body','Shell Armor',Slow,Ice
headBase,silver,grass,'Ice Body','Shell Armor',Slow,Ice
headBase,silver,grass,'Flash Fire','Flame Body',MediumSlow,Ghost
bipedalTailed,red,mountain,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,red,mountain,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,red,mountain,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,blue,water,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,blue,water,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,blue,water,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,yellow,forest,Static,'Shell Armor',MediumFast,Electric
bipedalTailed,yellow,rough,'Sand Veil','Shell Armor',MediumFast,Ground
bipedalTailed,yellow,rough,'Sand Veil','Shell Armor',MediumFast,Ground
bipedalTailed,blue,grass,'Poison Point',Rivalry,MediumSlow,Poison
bipedalTailed,purple,grass,'Poison Point',Rivalry,MediumSlow,Poison
bipedalTailed,pink,mountain,'Cute Charm','Magic Guard',Fast,Fairy
bipedalTailed,pink,mountain,'Cute Charm','Magic Guard',Fast,Fairy
bipedalTailed,yellow,water,Damp,'Cloud Nine',MediumFast,Water
bipedalTailed,blue,water,Damp,'Cloud Nine',MediumFast,Water
bipedalTailed,brown,mountain,'Vital Spirit','Anger Point',MediumFast,Fighting
bipedalTailed,brown,mountain,'Vital Spirit','Anger Point',MediumFast,Fighting
bipedalTailed,brown,urban,Synchronize,'Inner Focus',MediumSlow,Psychic
bipedalTailed,brown,urban,Synchronize,'Inner Focus',MediumSlow,Psychic
bipedalTailed,gray,mountain,Guts,'No Guard',MediumSlow,Fighting
bipedalTailed,pink,water,Oblivious,'Own Tempo',MediumFast,Water
bipedalTailed,purple,cave,Levitate,'Shell Armor',MediumSlow,Ghost
bipedalTailed,brown,mountain,'Rock Head',Lightningrod,MediumFast,Ground
bipedalTailed,brown,mountain,'Rock Head',Lightningrod,MediumFast,Ground
bipedalTailed,pink,grass,'Own Tempo',Oblivious,MediumFast,Normal
bipedalTailed,gray,rough,Lightningrod,'Rock Head',Slow,Ground
bipedalTailed,pink,urban,'Natural Cure','Serene Grace',Fast,Normal
bipedalTailed,brown,grass,'Early Bird',Scrappy,MediumFast,Normal
bipedalTailed,yellow,grass,Static,'Shell Armor',MediumFast,Electric
bipedalTailed,red,mountain,'Flame Body','Shell Armor',MediumFast,Fire
bipedalTailed,brown,sea,'Swift Swim','Battle Armor',MediumFast,Rock
bipedalTailed,brown,water,'Inner Focus','Shell Armor',Slow,Dragon
bipedalTailed,purple,rare,Pressure,'Shell Armor',Slow,Psychic
bipedalTailed,pink,rare,Synchronize,'Shell Armor',MediumSlow,Psychic
bipedalTailed,blue,water,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,blue,water,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,blue,water,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,pink,mountain,'Cute Charm','Magic Guard',Fast,Fairy
bipedalTailed,pink,grass,Static,'Shell Armor',MediumSlow,Electric
bipedalTailed,yellow,grass,Static,'Shell Armor',MediumSlow,Electric
bipedalTailed,blue,water,'Thick Fat','Huge Power',Fast,Water
bipedalTailed,blue,water,'Thick Fat','Huge Power',Fast,Water
bipedalTailed,pink,grass,Chlorophyll,'Leaf Guard',MediumSlow,Grass
bipedalTailed,green,grass,Chlorophyll,'Leaf Guard',MediumSlow,Grass
bipedalTailed,blue,grass,Chlorophyll,'Leaf Guard',MediumSlow,Grass
bipedalTailed,purple,forest,'Run Away',Pickup,Fast,Normal
bipedalTailed,blue,water,Damp,'Water Absorb',MediumFast,Water
bipedalTailed,pink,water,Oblivious,'Own Tempo',MediumFast,Water
bipedalTailed,purple,urban,Intimidate,'Quick Feet',Fast,Fairy
bipedalTailed,black,forest,'Inner Focus','Keen Eye',MediumSlow,Dark
bipedalTailed,brown,mountain,Pickup,'Quick Feet',MediumFast,Normal
bipedalTailed,brown,mountain,Guts,'Quick Feet',MediumFast,Normal
bipedalTailed,silver,urban,'Own Tempo',Technician,Fast,Normal
bipedalTailed,brown,urban,Intimidate,Technician,MediumFast,Fighting
bipedalTailed,red,mountain,'Flame Body','Shell Armor',MediumFast,Fire
bipedalTailed,pink,grass,'Thick Fat',Scrappy,Slow,Normal
bipedalTailed,green,mountain,Guts,'Shell Armor',Slow,Rock
bipedalTailed,green,mountain,'Sand Stream','Shell Armor',Slow,Rock
bipedalTailed,green,forest,Overgrow,'Shell Armor',MediumSlow,Grass
bipedalTailed,green,forest,Overgrow,'Shell Armor',MediumSlow,Grass
bipedalTailed,green,forest,Overgrow,'Shell Armor',MediumSlow,Grass
bipedalTailed,red,grass,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,red,grass,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,blue,water,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,blue,water,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,green,forest,'Effect Spore','Poison Heal',Fluctuating,Grass
bipedalTailed,silver,forest,'Vital Spirit','Shell Armor',Slow,Normal
bipedalTailed,pink,cave,Soundproof,'Shell Armor',MediumSlow,Normal
bipedalTailed,blue,cave,Soundproof,'Shell Armor',MediumSlow,Normal
bipedalTailed,blue,cave,Soundproof,'Shell Armor',MediumSlow,Normal
bipedalTailed,gray,mountain,Sturdy,'Rock Head',Slow,Steel
bipedalTailed,yellow,grass,Plus,'Shell Armor',MediumFast,Electric
bipedalTailed,yellow,grass,Minus,'Shell Armor',MediumFast,Electric
bipedalTailed,gray,forest,Illuminate,Swarm,Erratic,Bug
bipedalTailed,purple,mountain,'Thick Fat','Own Tempo',Fast,Psychic
bipedalTailed,brown,mountain,'Own Tempo','Tangled Feet',Fast,Normal
bipedalTailed,silver,grass,Immunity,'Shell Armor',Erratic,Normal
bipedalTailed,gray,water,'Battle Armor','Shell Armor',Erratic,Rock
bipedalTailed,green,forest,'Color Change','Shell Armor',MediumSlow,Normal
bipedalTailed,black,urban,Insomnia,Frisk,Fast,Ghost
bipedalTailed,blue,cave,'Shadow Tag','Shell Armor',MediumFast,Psychic
bipedalTailed,red,rough,Drought,'Shell Armor',Slow,Ground
bipedalTailed,brown,grass,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,brown,grass,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,brown,grass,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,blue,grass,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,blue,grass,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,brown,grass,Simple,Unaware,MediumFast,Normal
bipedalTailed,blue,grass,'Mold Breaker','Shell Armor',Erratic,Rock
bipedalTailed,blue,grass,'Mold Breaker','Shell Armor',Erratic,Rock
bipedalTailed,purple,grass,Technician,Pickup,Fast,Normal
bipedalTailed,brown,grass,'Run Away',Klutz,MediumFast,Normal
bipedalTailed,brown,grass,'Cute Charm',Klutz,MediumFast,Normal
bipedalTailed,blue,grass,'Sand Veil','Shell Armor',Slow,Dragon
bipedalTailed,blue,grass,'Sand Veil','Shell Armor',Slow,Dragon
bipedalTailed,blue,grass,'Sand Veil','Shell Armor',Slow,Dragon
bipedalTailed,blue,grass,Steadfast,'Inner Focus',MediumSlow,Fighting
bipedalTailed,blue,grass,Steadfast,'Inner Focus',MediumSlow,Fighting
bipedalTailed,silver,grass,'Snow Warning','Shell Armor',Slow,Grass
bipedalTailed,silver,grass,'Snow Warning','Shell Armor',Slow,Grass
bipedalTailed,black,grass,Pressure,'Shell Armor',MediumSlow,Dark
bipedalTailed,gray,grass,Lightningrod,'Solid Rock',Slow,Ground
bipedalTailed,yellow,grass,'Motor Drive','Shell Armor',MediumFast,Electric
bipedalTailed,red,grass,'Flame Body','Shell Armor',MediumFast,Fire
bipedalTailed,yellow,grass,Levitate,'Shell Armor',Slow,Psychic
bipedalTailed,pink,grass,Levitate,'Shell Armor',Slow,Psychic
bipedalTailed,blue,grass,Levitate,'Shell Armor',Slow,Psychic
bipedalTailed,purple,grass,Pressure,'Shell Armor',Slow,Water
bipedalTailed,green,grass,Overgrow,'Shell Armor',MediumSlow,Grass
bipedalTailed,green,grass,Overgrow,'Shell Armor',MediumSlow,Grass
bipedalTailed,red,grass,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,red,grass,Blaze,'Shell Armor',MediumSlow,Fire
bipedalTailed,blue,grass,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,blue,grass,Torrent,'Shell Armor',MediumSlow,Water
bipedalTailed,brown,grass,Illuminate,'Keen Eye',MediumFast,Normal
bipedalTailed,green,grass,Gluttony,'Shell Armor',MediumFast,Grass
bipedalTailed,green,grass,Gluttony,'Shell Armor',MediumFast,Grass
bipedalTailed,red,grass,Gluttony,'Shell Armor',MediumFast,Fire
bipedalTailed,red,grass,Gluttony,'Shell Armor',MediumFast,Fire
bipedalTailed,blue,grass,Gluttony,'Shell Armor',MediumFast,Water
bipedalTailed,blue,grass,Gluttony,'Shell Armor',MediumFast,Water
bipedalTailed,gray,grass,'Sand Rush','Sand Force',MediumFast,Ground
bipedalTailed,pink,grass,Healer,Regenerator,Fast,Normal
bipedalTailed,blue,grass,'Swift Swim',Hydration,MediumSlow,Water
bipedalTailed,red,grass,Intimidate,Moxie,MediumSlow,Ground
bipedalTailed,yellow,grass,'Shed Skin',Moxie,MediumFast,Dark
bipedalTailed,red,grass,'Shed Skin',Moxie,MediumFast,Dark
bipedalTailed,blue,grass,'Solid Rock',Sturdy,MediumFast,Water
bipedalTailed,gray,grass,Illusion,'Shell Armor',MediumSlow,Dark
bipedalTailed,blue,grass,Telepathy,Synchronize,MediumFast,Psychic
bipedalTailed,green,grass,Rivalry,'Mold Breaker',Slow,Dragon
bipedalTailed,green,grass,Rivalry,'Mold Breaker',Slow,Dragon
bipedalTailed,yellow,grass,Rivalry,'Mold Breaker',Slow,Dragon
bipedalTailed,silver,grass,'Snow Cloak','Shell Armor',MediumFast,Ice
bipedalTailed,yellow,grass,'Inner Focus',Regenerator,MediumSlow,Fighting
bipedalTailed,purple,grass,'Inner Focus',Regenerator,MediumSlow,Fighting
bipedalTailed,red,grass,'Rough Skin','Sheer Force',MediumFast,Dragon
bipedalTailed,red,grass,Gluttony,'Flash Fire',MediumFast,Fire
bipedalTailed,blue,grass,Levitate,'Shell Armor',Slow,Dark
bipedalTailed,black,grass,Teravolt,'Shell Armor',Slow,Dragon
bipedalTailed,gray,grass,Pressure,'Shell Armor',Slow,Dragon
headLegs,blue,grass,Chlorophyll,'Shell Armor',MediumSlow,Grass
headLegs,blue,water,'Water Absorb',Damp,MediumSlow,Water
headLegs,brown,grass,'Run Away','Early Bird',MediumFast,Normal
headLegs,brown,grass,'Run Away','Early Bird',MediumFast,Normal
headLegs,yellow,forest,Chlorophyll,'Shell Armor',Slow,Grass
headLegs,blue,grass,Chlorophyll,'Leaf Guard',MediumFast,Grass
headLegs,pink,urban,Trace,Download,MediumFast,Normal
headLegs,blue,water,Damp,'Water Absorb',MediumFast,Water
headLegs,red,urban,Trace,Download,MediumFast,Normal
headLegs,red,grass,Blaze,'Shell Armor',MediumSlow,Fire
headLegs,brown,forest,Chlorophyll,'Early Bird',MediumSlow,Grass
headLegs,brown,forest,'Effect Spore','Poison Heal',Fluctuating,Grass
headLegs,blue,water,'Thick Fat','Huge Power',Fast,Normal
headLegs,pink,grass,'Flower Gift','Shell Armor',MediumFast,Grass
headLegs,brown,grass,Sturdy,'Rock Head',MediumFast,Rock
headLegs,blue,grass,Sturdy,'Shell Armor',MediumSlow,Rock
quadruped,green,grass,Overgrow,'Shell Armor',MediumSlow,Grass
quadruped,green,grass,Overgrow,'Shell Armor',MediumSlow,Grass
quadruped,green,grass,Overgrow,'Shell Armor',MediumSlow,Grass
